cluster	SEQFID	genus	species	strain
cluster3398	SEQF2850	Anoxybacillus	flavithermus	dsm_2641t
cluster2277	SEQF2271	Corynebacterium	diphtheriae	HC01
cluster1549	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster326	SEQF1164	Acinetobacter	baumannii	AYE
cluster2388	SEQF2294	Aggregatibacter	actinomycetemcomitans	serotype f str. D18P1
cluster3273	SEQF2763	Mesorhizobium	loti	NZP2037
cluster754	SEQF1367	Streptococcus	salivarius	"CCHSS3, JIM8780"
cluster2501	SEQF2328	Lactobacillus	salivarius	SMXD51
cluster680	SEQF1342	Streptococcus	pneumoniae	 D39
cluster3294	SEQF2784	Corynebacterium	tuscaniense	DNF00037
cluster1637	SEQF1915	Prevotella	marshii	DSM 16973
cluster350	SEQF1173	Bacillus	subtilis	BSn5
cluster2465	SEQF2323	Bacillus	anthracis	str. H9401
cluster3014	SEQF2622	Rhodobacter	capsulatus	Y262
cluster385	SEQF1189	Escherichia	coli	55989
cluster517	SEQF1277	Neisseria	meningitidis	8013 (serogroup C)
cluster2893	SEQF2570	Lactococcus	lactis	UC509.9
cluster1467	SEQF1812	Staphylococcus	aureus	A9719
cluster2294	SEQF2274	Corynebacterium	diphtheriae	HC04
cluster2812	SEQF2527	Lactobacillus	paracasei	Lpp230
cluster3182	SEQF2711	Kluyvera	ascorbata	ATCC 33433
cluster1305	SEQF1691	Prevotella	oulorum	F0390
cluster3119	SEQF2695	Pseudomonas	otitidis	nan
cluster3238	SEQF2738	Tannerella	forsythia	"ATCC 43037, FDC 338"
cluster1564	SEQF1852	Prevotella	histicola	F0411
cluster3051	SEQF2664	Bartonella	schoenbuchensis	m07a
cluster3708	SEQF2985	Fusobacterium	sp. HMT 203	cm22
cluster2856	SEQF2546	Achromobacter	xylosoxidans	NH44784-1996
cluster2952	SEQF2594	Actinomyces	timonensis	DSM 23838
cluster1289	SEQF1680	Fusobacterium	nucleatum subsp. polymorphum	F0401
cluster3207	SEQF2716	Burkholderia	cepacia	JBK9
cluster2807	SEQF2521	Pseudomonas	stutzeri	DSM 10701
cluster3312	SEQF2793	Desulfovibrio	fairfieldensis	CCUG 45958
cluster2147	SEQF2203	Staphylococcus	aureus	O46
cluster2419	SEQF2302	Streptococcus	pneumoniae	459-5
cluster1253	SEQF1652	Simonsiella	muelleri	ATCC 29453
cluster3373	SEQF2840	Fusobacterium	hwasookii	ChDC F206
cluster3359	SEQF2830	Aggregatibacter	actinomycetemcomitans	serotype e str. ANH9776
cluster1620	SEQF1903	Actinomyces	massiliensis	F0489
cluster1516	SEQF1839	Staphylococcus	warneri	L37603
cluster2244	SEQF2247	Streptococcus	sobrinus	TCI-107
cluster288	SEQF1141	Bacillus	anthracis	str. A0193
cluster2528	SEQF2334	Streptococcus	anginosus	CCUG 39159
cluster3561	SEQF2913	Streptococcus	salivarius	jf
cluster2461	SEQF2323	Bacillus	anthracis	str. H9401
cluster982	SEQF1518	Escherichia	coli	O157:H7 str. EC869
cluster393	SEQF1193	Escherichia	coli	B7A (O148:H28:CS6:LT+:ST+)
cluster3227	SEQF2728	Prevotella	bivia	DNF00188
cluster3457	SEQF2876	Neisseria	macacae	atcc_33926
cluster1357	SEQF1719	Lactococcus	lactis	KF147
cluster2730	SEQF2478	Stenotrophomonas	maltophilia	EPM1
cluster1247	SEQF1648	Corynebacterium	matruchotii	ATCC 33806
cluster2861	SEQF2546	Achromobacter	xylosoxidans	NH44784-1996
cluster2832	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster1856	SEQF2030	Achromobacter	xylosoxidans	C54
cluster1373	SEQF1728	Anaerococcus	tetradius	ATCC 35098
cluster1860	SEQF2030	Achromobacter	xylosoxidans	C54
cluster2756	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster3180	SEQF2711	Kluyvera	ascorbata	ATCC 33433
cluster1229	SEQF1639	Escherichia	coli	LF82
cluster3516	SEQF2894	Roseomonas	mucosa	au37
cluster3590	SEQF2938	Corynebacterium	aurimucosum	hmsc036d02
cluster1717	SEQF1960	Enterobacter	hormaechei	ATCC 49162
cluster2259	SEQF2267	Corynebacterium	diphtheriae	31A
cluster160	SEQF1080	Enterococcus	faecalis	"V583, ATCC 700802"
cluster1956	SEQF2111	Lactobacillus	johnsonii	DPC 6026
cluster1420	SEQF1798	Prevotella	buccae	D17
cluster3713	SEQF2987	Corynebacterium	tuberculostearicum	og2
cluster1321	SEQF1708	Bacillus	anthracis	A0248
cluster642	SEQF1319	Staphylococcus	aureus	NCTC 8325
cluster1214	SEQF1620	Staphylococcus	aureus	JKD6008
cluster815	SEQF1404	Streptococcus	pneumoniae	SP23-BS72
cluster3202	SEQF2716	Burkholderia	cepacia	JBK9
cluster2459	SEQF2323	Bacillus	anthracis	str. H9401
cluster1906	SEQF2061	Finegoldia	magna	ACS-171-V-Col3
cluster2135	SEQF2201	Staphylococcus	aureus	A9754
cluster3627	SEQF2952	Corynebacterium	simulans	hmsc08c04
cluster2765	SEQF2494	Lactobacillus	casei	Lc-10
cluster2757	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster3342	SEQF2818	Fusobacterium	nucleatum subsp. vincentii	"ChDC F8,KCOM 1231"
cluster456	SEQF1221	Aggregatibacter	aphrophilus	NJ8700
cluster1508	SEQF1836	Staphylococcus	epidermidis	M23864:W1
cluster1334	SEQF1710	Escherichia	coli	O111:H- str. 11128
cluster2515	SEQF2332	Pseudomonas	fluorescens	A506
cluster1928	SEQF2084	Lactobacillus	crispatus	214-1
cluster746	SEQF1364	Streptococcus	pyogenes	"MGAS9429, ATCC BAA-1315"
cluster1436	SEQF1804	Staphylococcus	aureus	A5937
cluster3052	SEQF2666	Bacteroides	pyogenes	JCM 10003
cluster1304	SEQF1690	Selenomonas	noxia	F0398
cluster3710	SEQF2986	Corynebacterium	accolens	kpl1818
cluster096	SEQF1054	Yersinia	pestis	Antiqua JGI
cluster1030	SEQF1532	Streptococcus	pneumoniae	Taiwan19F-14
cluster3856	SEQF3037	Corynebacterium	amycolatum	hmsc14h10
cluster3824	SEQF3027	Corynebacterium	accolens	kpl1996
cluster2594	SEQF2381	Pseudomonas	fluorescens	SS101
cluster300	SEQF1150	Bacillus	anthracis	str. A0442
cluster2392	SEQF2297	Aggregatibacter	actinomycetemcomitans	serotype c str. SCC2302
cluster1949	SEQF2107	Klebsiella	pneumoniae	subsp. pneumoniae HS11286
cluster2863	SEQF2549	Enterococcus	casseliflavus	14-MB-W-14
cluster548	SEQF1297	Pseudomonas	aeruginosa	PAO1
cluster415	SEQF1199	Escherichia	coli	42
cluster2129	SEQF2200	Staphylococcus	aureus	A8819
cluster3844	SEQF3032	Corynebacterium	aurimucosum	hmsc068g04
cluster538	SEQF1295	Pseudomonas	aeruginosa	PA7
cluster1442	SEQF1805	Staphylococcus	aureus	A5948
cluster3422	SEQF2862	Corynebacterium	kroppenstedtii	dsm_44385
cluster2839	SEQF2537	Delftia	acidovorans	CCUG 274B
cluster1299	SEQF1687	Capnocytophaga	sp. HMT 338	F0234
cluster2724	SEQF2473	Lactococcus	lactis	IO-1
cluster3173	SEQF2705	Actinomyces	israelii	DSM 43320
cluster1353	SEQF1717	Lactobacillus	rhamnosus	GG
cluster1141	SEQF1572	Escherichia	coli	BL21(DE3)
cluster3243	SEQF2743	Porphyromonas	gingivalis	Ando
cluster2029	SEQF2168	Pseudomonas	aeruginosa	NCGM2.S1
cluster321	SEQF1161	Acinetobacter	baumannii	SDF
cluster3340	SEQF2816	Fusobacterium	nucleatum subsp. animalis	KCOM 1279
cluster3454	SEQF2875	Acinetobacter	junii	65
cluster2628	SEQF2395	Stenotrophomonas	maltophilia	Ab55555
cluster769	SEQF1382	Streptococcus	mutans	NN2025
cluster1588	SEQF1872	Treponema	denticola	ASLM/F0460
cluster2424	SEQF2303	Streptococcus	pneumoniae	England14-9
cluster1012	SEQF1528	Streptococcus	pneumoniae	Hungary19A-6
cluster1227	SEQF1639	Escherichia	coli	LF82
cluster3209	SEQF2716	Burkholderia	cepacia	JBK9
cluster3389	SEQF2847	Klebsiella	aerogenes	kctc_2190
cluster1051	SEQF1556	Yersinia	pestis	CA88-4125
cluster179	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster3256	SEQF2749	Ottowia	sp. HMT 894	W10237
cluster1054	SEQF1556	Yersinia	pestis	CA88-4125
cluster2632	SEQF2397	Streptococcus	anginosus	SK1138
cluster2485	SEQF2325	Bradyrhizobium	elkanii	587
cluster1325	SEQF1708	Bacillus	anthracis	A0248
cluster622	SEQF1314	Staphylococcus	aureus	MRSA252
cluster2970	SEQF2604	Enterobacter	cancerogenus	YZ1
cluster2600	SEQF2382	Pseudomonas	stutzeri	CCUG 29243
cluster3066	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster2862	SEQF2547	Alloscardovia	omnicolens	DSM 21503
cluster730	SEQF1360	Streptococcus	pyogenes	"MGAS315, ATCC BAA-595"
cluster2563	SEQF2351	Neisseria	sicca	VK64
cluster2059	SEQF2173	Staphylococcus	aureus	04-02981
cluster3094	SEQF2687	Prevotella	shahii	JCM 12083
cluster1695	SEQF1944	Neisseria	sp. HMT 020	F0370
cluster808	SEQF1402	Streptococcus	pneumoniae	SP18-BS74
cluster434	SEQF1208	Escherichia	coli	str. K-12 substr. MG1655
cluster1597	SEQF1879	Fusobacterium	sp. HMT 370	F0437
cluster2316	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster122	SEQF1059	Streptococcus	pneumoniae	G54
cluster2727	SEQF2476	Campylobacter	showae	CC57C
cluster1819	SEQF1997	Streptococcus	cristatus clade 578	ATCC 51100
cluster3106	SEQF2691	Cronobacter	sakazakii	ES15
cluster2538	SEQF2339	Streptococcus	mitis	SK616
cluster341	SEQF1167	Agrobacterium	tumefaciens	"str. C58, ATCC 33970"
cluster183	SEQF1092	Mitsuokella	multacida	"DSM 20544, A 405-1, ATCC 27723, NCTC 10"
cluster1603	SEQF1888	Streptococcus	oralis subsp. tigurinus clade 070	F0441
cluster885	SEQF1486	Acinetobacter	baumannii	MDR-ZJ06
cluster791	SEQF1398	Acinetobacter	baumannii	ACICU
cluster164	SEQF1082	Yersinia	pestis	biovar Microtus str. 91001
cluster1068	SEQF1559	Yersinia	pestis	Pestoides A
cluster3791	SEQF3013	Corynebacterium	amycolatum	hmsc072b08
cluster2878	SEQF2560	Lactococcus	lactis	str. TIFN2
cluster1793	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster3863	SEQF3039	Corynebacterium	singulare	hmsc078h07
cluster3502	SEQF2890	Dietzia	cinnamea	p4
cluster271	SEQF1137	Escherichia	coli	O157:H7 str. TW14588
cluster3178	SEQF2709	Delftia	acidovorans	2167 DR66
cluster223	SEQF1120	Lactobacillus	reuteri clade 818	100-23
cluster3789	SEQF3013	Corynebacterium	amycolatum	hmsc072b08
cluster1724	SEQF1965	Lactobacillus	plantarum	WCFS1
cluster801	SEQF1401	Streptococcus	pneumoniae	SP14-BS69
cluster145	SEQF1072	Tannerella	forsythia	"92A2 not ATCC 43037, FDC 338"
cluster3688	SEQF2977	Corynebacterium	tuberculostearicum	kpl1856
cluster1786	SEQF1991	Pseudomonas	aeruginosa	138244
cluster2326	SEQF2284	Neisseria	meningitidis	alpha710
cluster2639	SEQF2406	Fusobacterium	periodonticum	D10
cluster2343	SEQF2288	Neisseria	meningitidis	WUE 2594
cluster059	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster2284	SEQF2273	Corynebacterium	diphtheriae	HC03
cluster172	SEQF1086	Bordetella	pertussis	"Tohama I, ATCC BAA-589, NCTC-13251"
cluster2296	SEQF2275	Corynebacterium	diphtheriae	INCA 402
cluster3619	SEQF2950	Corynebacterium	aurimucosum	hmsc074e01
cluster3279	SEQF2764	Mesorhizobium	loti	USDA 3471
cluster669	SEQF1333	Streptococcus	agalactiae	515
cluster736	SEQF1361	Streptococcus	pyogenes	"M1 MGAS5005, ATCC BAA-947"
cluster3213	SEQF2716	Burkholderia	cepacia	JBK9
cluster293	SEQF1143	Bacillus	anthracis	str. A0389
cluster3124	SEQF2695	Pseudomonas	otitidis	nan
cluster2395	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster345	SEQF1170	Bacillus	clausii	KSM-K16
cluster2845	SEQF2537	Delftia	acidovorans	CCUG 274B
cluster3379	SEQF2843	Fusobacterium	hwasookii	ChDC F128
cluster1043	SEQF1555	Yersinia	pestis	Angola
cluster2993	SEQF2615	Eikenella	corrodens	CC92I
cluster1216	SEQF1620	Staphylococcus	aureus	JKD6008
cluster3078	SEQF2673	Ochrobactrum	anthropi	W13P3
cluster2250	SEQF2249	Bifidobacterium	longum	subsp. infantis ATCC 15697
cluster2655	SEQF2411	Afipia	broomeae	ATCC 49717
cluster262	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster535	SEQF1295	Pseudomonas	aeruginosa	PA7
cluster3525	SEQF2899	Neisseria	cinerea	atcc_14685
cluster3487	SEQF2886	Corynebacterium	afermentans	lcdc880199
cluster1458	SEQF1809	Staphylococcus	aureus	A8117
cluster2684	SEQF2436	Aggregatibacter	actinomycetemcomitans	serotype a str. A160
cluster3861	SEQF3039	Corynebacterium	singulare	hmsc078h07
cluster269	SEQF1137	Escherichia	coli	O157:H7 str. TW14588
cluster507	SEQF1272	Neisseria	gonorrhoeae	"FA 1090, ATCC 700825"
cluster2911	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster3587	SEQF2937	Corynebacterium	accolens	kpl1986
cluster3357	SEQF2828	Aggregatibacter	actinomycetemcomitans	serotype d str. SA508
cluster439	SEQF1213	Escherichia	coli	O157:H7 EDL933
cluster337	SEQF1166	Neisseria	elongata	ATCC 29315
cluster3528	SEQF2900	Moraxella	nonliquefaciens	ccug_60284
cluster822	SEQF1405	Streptococcus	pneumoniae	SP3-BS71
cluster061	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster3452	SEQF2875	Acinetobacter	junii	65
cluster2981	SEQF2610	Achromobacter	xylosoxidans	NBRC 15126 = ATCC 27061
cluster3266	SEQF2763	Mesorhizobium	loti	NZP2037
cluster1846	SEQF2029	Achromobacter	xylosoxidans	AXX-A
cluster3659	SEQF2965	Haemophilus	influenzae	hmsc066a11
cluster493	SEQF1261	Neisseria	lactamica	ATCC 23970
cluster1177	SEQF1593	Selenomonas	noxia	ATCC 43541
cluster3437	SEQF2867	Paracoccus	yeei	fdaargos_252
cluster513	SEQF1276	Neisseria	meningitidis	MC58
cluster2634	SEQF2400	Streptococcus	salivarius	K12
cluster302	SEQF1150	Bacillus	anthracis	str. A0442
cluster3382	SEQF2846	Corynebacterium	singulare	ibs_b52218
cluster037	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster652	SEQF1322	Staphylococcus	epidermidis	 ATCC 12228
cluster1382	SEQF1754	Escherichia	coli	83972
cluster2446	SEQF2310	Peptidiphaga	sp. HMT 183	F0552
cluster3037	SEQF2637	Tannerella	sp. HMT 286	isolate Cell 6/7/9
cluster3356	SEQF2827	Aggregatibacter	actinomycetemcomitans	serotype e str. SA2876
cluster2168	SEQF2210	Streptococcus	anginosus	1_2_62CV
cluster2071	SEQF2183	Variovorax	paradoxus	EPS
cluster3201	SEQF2716	Burkholderia	cepacia	JBK9
cluster2359	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster2438	SEQF2306	Streptococcus	pneumoniae	GA08825
cluster3687	SEQF2977	Corynebacterium	tuberculostearicum	kpl1856
cluster1804	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster1076	SEQF1561	Yersinia	pestis	biovar Antiqua str. E1979001
cluster053	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster1826	SEQF2001	Streptococcus	mitis	SK321
cluster1648	SEQF1920	Lysinibacillus	fusiformis	ZC1
cluster2763	SEQF2493	Lactobacillus	casei	CRF28
cluster1944	SEQF2104	Lactobacillus	plantarum	subsp. plantarum NC8
cluster989	SEQF1523	Streptococcus	pneumoniae	70585
cluster2500	SEQF2327	Kingella	kingae	PYKK081
cluster3893	SEQF3048	Corynebacterium	aurimucosum	hmsc056f09
cluster1169	SEQF1590	Streptococcus	pneumoniae	SP9v-BS293
cluster632	SEQF1316	Staphylococcus	aureus	"Mu50, (VRSA),  ATCC 700699"
cluster3262	SEQF2751	Olsenella	sp. HMT 807	F0089
cluster3428	SEQF2865	Corynebacterium	accolens	kpl1818
cluster2011	SEQF2167	Pseudomonas	aeruginosa	M18
cluster1318	SEQF1705	Streptococcus	vestibularis	F0396
cluster2472	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster3123	SEQF2695	Pseudomonas	otitidis	nan
cluster2174	SEQF2212	Streptococcus	infantis clade 638	ATCC 700779
cluster3018	SEQF2624	Rhodobacter	capsulatus	YW2
cluster2205	SEQF2229	Streptococcus	pneumoniae	GA17570
cluster2159	SEQF2207	Staphylococcus	epidermidis	M23864:W2(grey)
cluster1016	SEQF1529	Streptococcus	pneumoniae	JJA
cluster3284	SEQF2771	Treponema	putidum	"OMZ 758, ATCC 700334"
cluster3396	SEQF2850	Anoxybacillus	flavithermus	dsm_2641t
cluster646	SEQF1319	Staphylococcus	aureus	NCTC 8325
cluster2171	SEQF2211	Streptococcus	constellatus	subsp. pharyngis SK1060
cluster2044	SEQF2170	Pseudomonas	stutzeri	ATCC 17588 = LMG 11199
cluster2766	SEQF2495	Lactobacillus	casei	Lpc-37
cluster3649	SEQF2961	Corynebacterium	simulans	hmsc036d03
cluster3145	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster3218	SEQF2718	Chlorobium	limicola	DSM 245
cluster2941	SEQF2590	Streptococcus	constellatus	subsp. pharyngis C232
cluster1045	SEQF1555	Yersinia	pestis	Angola
cluster3810	SEQF3022	Haemophilus	parainfluenzae	hmsc71h05
cluster362	SEQF1177	Campylobacter	concisus	strain 13826
cluster2894	SEQF2572	Proteus	mirabilis	BB2000
cluster3465	SEQF2880	Paenibacillus	glucanolyticus	5162
cluster1327	SEQF1709	Bacillus	anthracis	CDC 684
cluster3235	SEQF2738	Tannerella	forsythia	"ATCC 43037, FDC 338"
cluster1752	SEQF1977	Ralstonia	pickettii	12D
cluster1990	SEQF2151	Lactococcus	lactis	NZ9000
cluster699	SEQF1345	Streptococcus	pneumoniae	OXC141
cluster1453	SEQF1808	Staphylococcus	aureus	A8115
cluster767	SEQF1382	Streptococcus	mutans	NN2025
cluster052	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster2241	SEQF2244	Veillonella	parvula	ACS-068-V-Sch12
cluster024	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster3647	SEQF2959	Fusobacterium	nucleatum subsp. animalis	hmsc065f01
cluster1371	SEQF1726	Streptococcus	pneumoniae	P1031
cluster3875	SEQF3043	Corynebacterium	aurimucosum	hmsc069e04
cluster432	SEQF1207	Escherichia	coli	IAI39 (O7:K1)
cluster220	SEQF1116	Streptococcus	pneumoniae	CGSP14
cluster2408	SEQF2300	Stenotrophomonas	maltophilia	D457
cluster139	SEQF1068	Streptococcus	mitis	NCTC 12261
cluster087	SEQF1041	Bacillus	anthracis	Sterne
cluster2211	SEQF2230	Streptococcus	pneumoniae	GA41301
cluster2090	SEQF2186	Yersinia	pestis	D182038
cluster589	SEQF1302	Pseudomonas	fluorescens	SBW25
cluster2102	SEQF2189	Cutibacterium	acnes	J165
cluster2615	SEQF2388	Corynebacterium	diphtheriae	bv. intermedius str. NCTC 5011
cluster2847	SEQF2539	Fusobacterium	nucleatum subsp. animalis	4_8
cluster2103	SEQF2189	Cutibacterium	acnes	J165
cluster1694	SEQF1944	Neisseria	sp. HMT 020	F0370
cluster1531	SEQF1845	Aggregatibacter	actinomycetemcomitans	D7S-1
cluster3718	SEQF2989	Corynebacterium	aurimucosum	hmsc074h12
cluster2333	SEQF2286	Neisseria	meningitidis	H44/76
cluster2859	SEQF2546	Achromobacter	xylosoxidans	NH44784-1996
cluster019	SEQF1017	Peptostreptococcaceae [XI][G-5]	[Eubacterium] saphenum	ATCC 49989
cluster3161	SEQF2703	Corynebacterium	diphtheriae	DSM 43988
cluster1791	SEQF1991	Pseudomonas	aeruginosa	138244
cluster1809	SEQF1993	Pseudoramibacter	alactolyticus	ATCC 23263
cluster2824	SEQF2534	Enterococcus	durans	ATCC 6056
cluster3069	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster062	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster3764	SEQF3004	Corynebacterium	coyleae	hmsc070h05
cluster3553	SEQF2911	Corynebacterium	pseudodiphtheriticum	kpl1995
cluster1800	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster1297	SEQF1687	Capnocytophaga	sp. HMT 338	F0234
cluster2322	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster243	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster1468	SEQF1812	Staphylococcus	aureus	A9719
cluster3121	SEQF2695	Pseudomonas	otitidis	nan
cluster2439	SEQF2307	Streptococcus	pneumoniae	GA17457
cluster270	SEQF1137	Escherichia	coli	O157:H7 str. TW14588
cluster1521	SEQF1840	Streptococcus	pneumoniae	TCH8431/19A
cluster3105	SEQF2691	Cronobacter	sakazakii	ES15
cluster2574	SEQF2356	Porphyromonas	gingivalis	F0570
cluster3131	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster3419	SEQF2860	Staphylococcus	cohnii	snuds_2
cluster2372	SEQF2291	Bacillus	subtilis	subsp. subtilis RO-NN-1
cluster1087	SEQF1562	Yersinia	pestis	biovar Antiqua str. UG05-0454
cluster591	SEQF1302	Pseudomonas	fluorescens	SBW25
cluster1004	SEQF1526	Streptococcus	pneumoniae	CDC1873-00
cluster256	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster3309	SEQF2792	Prevotella	enoeca	F0113
cluster1842	SEQF2020	Streptococcus	australis	ATCC 700641
cluster900	SEQF1490	Staphylococcus	aureus	Mu3
cluster1861	SEQF2030	Achromobacter	xylosoxidans	C54
cluster1601	SEQF1887	Prevotella	sp. HMT 306	F0472
cluster1701	SEQF1950	Capnocytophaga	sp. HMT 380	F0488
cluster057	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster3112	SEQF2695	Pseudomonas	otitidis	nan
cluster1540	SEQF1847	Streptococcus	sp. HMT 056	F0418
cluster534	SEQF1295	Pseudomonas	aeruginosa	PA7
cluster2417	SEQF2302	Streptococcus	pneumoniae	459-5
cluster3071	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster763	SEQF1380	Streptococcus	pyogenes	"SF370 (serotype M1 GAS), ATCC 700294"
cluster993	SEQF1524	Streptococcus	pneumoniae	CDC0288-04
cluster2187	SEQF2221	Streptococcus	oralis subsp. oralis	SK313
cluster1619	SEQF1901	Rothia	aeria	F0474
cluster2237	SEQF2242	Streptococcus	pyogenes	ATCC 10782
cluster1440	SEQF1805	Staphylococcus	aureus	A5948
cluster1696	SEQF1944	Neisseria	sp. HMT 020	F0370
cluster1744	SEQF1974	Peptoniphilus	indolicus	ATCC 29427
cluster3169	SEQF2705	Actinomyces	israelii	DSM 43320
cluster3153	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster359	SEQF1175	Neisseria	mucosa	ATCC 25996
cluster2181	SEQF2219	Streptococcus	mitis	SK569
cluster414	SEQF1199	Escherichia	coli	42
cluster1362	SEQF1723	Neisseria	meningitidis	alpha14
cluster3061	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster1308	SEQF1695	Peptostreptococcaceae [XI][G-1]	[Eubacterium] infirmum	F0142
cluster067	SEQF1035	Mycobacterium	leprae	TN
cluster2131	SEQF2200	Staphylococcus	aureus	A8819
cluster3376	SEQF2842	Fusobacterium	hwasookii	ChDC F174
cluster966	SEQF1516	Escherichia	coli	O157:H7 str. EC4501
cluster484	SEQF1250	Klebsiella	pneumoniae	"MGH 78578, ATCC 700721"
cluster3147	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster585	SEQF1301	Pseudomonas	fluorescens	Pf0-1
cluster788	SEQF1395	Variovorax	paradoxus	S110
cluster2673	SEQF2422	Lysinibacillus	fusiformis	ZB2
cluster3583	SEQF2936	Corynebacterium	aurimucosum	hmsc066c02
cluster307	SEQF1151	Bacillus	anthracis	str. A0465
cluster2630	SEQF2395	Stenotrophomonas	maltophilia	Ab55555
cluster2895	SEQF2572	Proteus	mirabilis	BB2000
cluster934	SEQF1508	Escherichia	coli	O157:H7 str. EC4045
cluster2390	SEQF2296	Aggregatibacter	actinomycetemcomitans	serotype e str. SCC393
cluster3460	SEQF2876	Neisseria	macacae	atcc_33926
cluster2882	SEQF2561	Lactococcus	lactis	str. TIFN4
cluster3127	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
